group_type,group,pair,pair_label,task,scope,n_samples,rmse_pw,n_pixels,ssim_pw,ssim_pixels,ssim_sample_mean,ssim_sample_count,map_corr,map_corr_pixels,grad_mag_corr,grad_corr_pixels
topology_class_3,open,model,GT-model,delay_spread,overall,5,2.3163974047638862,1226950,0.9544106857177308,1226950,0.9544106857177308,5,0.5752545341487496,1226950,0.37012467993792686,1226950
topology_class_3,open,model,GT-model,delay_spread,los,5,2.3798783500375644,1159305,0.9559364346885691,1159305,0.9554665334471533,5,0.5233934704351194,1159305,0.35895673890818935,1159305
topology_class_3,open,model,GT-model,delay_spread,nlos,5,0.5063846547201811,67645,0.9282622873048737,67645,0.9352708688612204,5,0.05645836941904423,49005,0.5058188450531793,67645
topology_class_3,open,model,GT-model,angular_spread,overall,5,5.933737466967363,1226950,0.8800394707126507,1226950,0.8800394707126508,5,0.632337413354728,1226950,0.4011009087781643,1226950
topology_class_3,open,model,GT-model,angular_spread,los,5,6.036854428154795,1159305,0.885990643816356,1159305,0.8854054965976139,5,0.6347181218034877,1159305,0.396144719649899,1159305
topology_class_3,open,model,GT-model,angular_spread,nlos,5,3.7489329211037132,67645,0.7780478270584128,67645,0.782568013042832,5,0.12781143069529535,49005,0.46602604963008915,67645
topology_class_3,open,prior_vs_model,prior-model,path_loss,overall,5,0.9943910133164038,1165976,0.9677841492328295,1165976,0.9677828443786434,5,0.9844844714268156,1165976,0.9588080939208706,1165951
topology_class_3,open,prior_vs_model,prior-model,path_loss,los,5,0.9961729889231506,1159305,0.9678032327923038,1159305,0.9678010862164668,5,0.9843970787972613,1159305,0.9597780788972956,1159304
topology_class_3,open,prior_vs_model,prior-model,path_loss,nlos,5,0.6102312729055991,6671,0.9644677550016073,6671,0.9575415916245806,5,0.9839416769401833,6671,0.9674758981595453,6647
topology_class_3,open,prior_vs_model,prior-model,delay_spread,overall,5,1.0503392488097443,1226950,0.9766863070415437,1226950,0.9766863070415436,5,0.7426174792841229,1226950,0.6081501283350008,1226950
topology_class_3,open,prior_vs_model,prior-model,delay_spread,los,5,1.0805236641962885,1159305,0.9768856679209319,1159305,0.9766471565189179,5,0.6755112755069943,1159305,0.5884280709818526,1159305
topology_class_3,open,prior_vs_model,prior-model,delay_spread,nlos,5,0.030188067301537377,67645,0.9732696455842429,67645,0.9765430985990655,5,0.09526763847931785,67645,0.7169354693437436,67645
topology_class_3,open,prior_vs_model,prior-model,angular_spread,overall,5,3.0859042139050015,1226950,0.9038898032595996,1226950,0.9038898032595997,5,0.5857991823034825,1226950,0.4742167035506617,1226950
topology_class_3,open,prior_vs_model,prior-model,angular_spread,los,5,3.174558231334957,1159305,0.9068075733111111,1159305,0.9064362627549356,5,0.5836162001425657,1159305,0.46798243241766535,1159305
topology_class_3,open,prior_vs_model,prior-model,angular_spread,nlos,5,0.10447148179994557,67645,0.8538848448803025,67645,0.8552688547546701,5,0.1349713783542047,67645,0.5812097847159202,67645
antenna_bin,high_ant,prior,GT-prior,path_loss,overall,5,1.5759491950970923,1067960,0.9291660622438277,1067960,0.9260643633165486,5,0.9560623265254932,1067960,0.8717786529375632,1067930
antenna_bin,high_ant,prior,GT-prior,path_loss,los,5,1.5734746523513816,1057559,0.9297895487061789,1057559,0.9264996904665462,5,0.9552243587592905,1057559,0.8727238117533427,1057557
antenna_bin,high_ant,prior,GT-prior,path_loss,nlos,5,1.8099823602514749,10401,0.8657708387424706,10401,0.8792345663188688,5,0.7379658610037221,10401,0.8029399036791309,10373
antenna_bin,high_ant,prior,GT-prior,delay_spread,overall,5,1.533830633731583,1162458,0.9518577687599529,1162458,0.950343051854273,5,0.5988521220401216,1162458,0.2580387297341014,1162458
antenna_bin,high_ant,prior,GT-prior,delay_spread,los,5,1.5932301387905694,1057559,0.9531876037793833,1057559,0.9496363391993796,5,0.4587170104744871,1057559,0.23712714988838368,1057559
antenna_bin,high_ant,prior,GT-prior,delay_spread,nlos,5,0.6928236172654636,104899,0.9384507868696216,104899,0.9407084169028186,5,0.0958835213062462,86259,0.42716943727241347,104899
antenna_bin,high_ant,prior,GT-prior,angular_spread,overall,5,8.704370199720486,1162458,0.8077534516204107,1162458,0.8003234387419491,5,0.3698885177282714,1162458,0.26237217843370014,1162458
antenna_bin,high_ant,prior,GT-prior,angular_spread,los,5,8.994110022696852,1057559,0.8126791447820056,1057559,0.7958102466392032,5,0.3647038205137328,1057559,0.2965832325006792,1057559
antenna_bin,high_ant,prior,GT-prior,angular_spread,nlos,5,4.9058763178225675,104899,0.758094149488995,104899,0.7574882368302891,5,0.11541526258308415,86259,0.2533194838693551,104899
antenna_bin,high_ant,model,GT-model,path_loss,overall,5,1.196056201647577,1067960,0.9584584724432293,1067960,0.953928940802616,5,0.9740884550230692,1067960,0.9162132594182861,1067930
