group_type,group,task,scope,n_samples,gt_prior_rmse,gt_model_rmse,delta_model_minus_prior_rmse,prior_model_rmse,gt_prior_ssim,gt_model_ssim,delta_model_minus_prior_ssim,prior_model_ssim,gt_prior_map_corr,gt_model_map_corr,delta_model_minus_prior_map_corr,prior_model_map_corr,gt_prior_grad_corr,gt_model_grad_corr,delta_model_minus_prior_grad_corr,prior_model_grad_corr
antenna_bin,mid_ant,delay_spread,overall,2,3.6110933001780467,3.3452644958222595,-0.26582880435578726,1.4608451676559902,0.9145721895746648,0.9217330353204757,0.007160845745810884,0.9603571582721747,0.23143473502172304,0.4256795514601011,0.19424481643837807,0.5732548983090955,0.15281473735733386,0.31582732288199966,0.1630125855246658,0.5363543305306773
antenna_bin,mid_ant,delay_spread,los,2,3.746129387174465,3.4696291528556134,-0.27650023431885185,1.5174133597909307,0.9160543517721972,0.922873948148593,0.006819596376395842,0.9602236213744164,0.1720557378386372,0.3998862810371815,0.2278305431985443,0.49004071215581474,0.1461814661948224,0.2978763292121579,0.1516948630173355,0.5099033785976209
antenna_bin,mid_ant,delay_spread,nlos,2,0.6821496530995952,0.6808339329119256,-0.0013157201876695668,0.040923304594139516,0.8958123781717692,0.9072924366341394,0.011480058462370213,0.962047342397397,0.041925648392509,0.07749999172930651,0.03557434333679751,0.16721230336555704,0.28071351876000183,0.506858324439243,0.2261448056792411,0.6169140031170844
antenna_bin,mid_ant,angular_spread,overall,2,8.528642493139381,6.926034084608937,-1.6026084085304442,3.5610617837833183,0.8309840671982908,0.8406748669166275,0.009690799718336751,0.8800915921720252,0.3144678462323998,0.6321682399553639,0.31770039372296405,0.586892584799945,0.25950529420740215,0.40181987594716106,0.14231458173975892,0.5383032919226507
antenna_bin,mid_ant,angular_spread,los,2,8.746766166433014,7.0569251626499145,-1.6898410037830995,3.6988461053238155,0.837410202605701,0.8465451920476067,0.009134989441905716,0.8824872861573209,0.31518818218124756,0.6384316549185234,0.3232434727372758,0.5833850453343288,0.2889109455215935,0.3957830052976904,0.10687205977609687,0.5187894517264533
antenna_bin,mid_ant,angular_spread,nlos,2,5.004371042141008,4.980405385649633,-0.02396565649137461,0.1424364801369625,0.7496481051199287,0.7663738271827936,0.016725722062864823,0.8497691568690464,0.03555434003677168,0.1731636874352571,0.1376093473984854,0.2395420991948945,0.17298710691684496,0.4498675691225867,0.2768804622057417,0.6194229521310779
topology_class_6_antenna_bin,mixed_compact_lowrise|high_ant,path_loss,overall,2,1.9042119367525212,1.7346717195989505,-0.1695402171535707,0.991034111856844,0.8969074267189305,0.9099760261231624,0.013068599404231884,0.9588933502018172,0.9266412333985656,0.9483709165950512,0.021729683196485605,0.9713513202023975,0.7807872720981658,0.8462178992976975,0.06543062719953174,0.9093121898753821
topology_class_6_antenna_bin,mixed_compact_lowrise|high_ant,path_loss,los,2,1.9032184976411302,1.7320752630278686,-0.17114323461326153,0.9895632953908723,0.8977892057705902,0.9106767229370685,0.01288751716647829,0.9590684595556644,0.9237454381026862,0.9475983264150041,0.02385288831231791,0.9681944778475321,0.7805874115594978,0.8466753780558809,0.06608796649638304,0.9068219984924981
topology_class_6_antenna_bin,mixed_compact_lowrise|high_ant,path_loss,nlos,2,1.9464786380044767,1.8429333484648565,-0.10354528953962028,1.0523767893901708,0.8589651382004135,0.8798255699207993,0.020860431720385764,0.9513585265819369,0.7055245771081569,0.7247588854150262,0.01923430830686934,0.943529854026104,0.7787199379587546,0.8106363262980777,0.03191638833932309,0.9516343279636229
topology_class_6_antenna_bin,mixed_compact_lowrise|high_ant,delay_spread,overall,2,1.804892470388064,1.495645714919872,-0.3092467554681919,1.0068165179754172,0.9230405215444241,0.9477356955744205,0.024695174029996436,0.9659793313121435,0.6033569788485637,0.7390889370419569,0.13573195819339323,0.8185400838419735,0.267386853344712,0.4919067400843381,0.22451988673962608,0.5986579063462351
