scope,city_type_6,metric,kind,family,kl,tvd,best,mean,std,skew,excess_kurt
by_class,dense_block_highrise,path_loss,target_los,gmm5,0.010600,0.024200,1,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,gmm3,0.010800,0.025500,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,gmm4,0.010900,0.025400,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,gmm2,0.011500,0.030800,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,skew_normal,0.022500,0.073600,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,gaussian,0.023500,0.074800,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,gamma,0.029700,0.068200,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,laplace,0.038400,0.105300,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,lognormal,0.047500,0.068800,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,weibull,0.066500,0.118500,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_los,spike_plus_exp,1.167800,0.652600,0,98.223,5.912,0.23,0.731
by_class,dense_block_highrise,path_loss,target_nlos,gmm5,0.056600,0.079900,1,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,gmm4,0.056800,0.079000,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,gmm3,0.058300,0.083800,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,gmm2,0.058300,0.085000,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,laplace,0.086100,0.134000,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,weibull,0.098900,0.116500,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,skew_normal,0.100100,0.134800,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,gaussian,0.104800,0.139500,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,gamma,0.175800,0.176200,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,lognormal,0.233300,0.195200,0,107.489,4.665,-0.494,2.006
by_class,dense_block_highrise,path_loss,target_nlos,spike_plus_exp,1.302900,0.675900,0,107.489,4.665,-0.494,2.006
by_class,dense_block_midrise,angular_spread,pred_angular_spread,gmm5,0.032600,0.084200,1,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,gmm4,0.036400,0.094600,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,gmm3,0.051200,0.122700,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,gmm2,0.156900,0.211200,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,lognormal,0.484100,0.346800,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,gamma,0.566700,0.368600,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,weibull,0.653700,0.398300,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,skew_normal,0.737900,0.426500,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,gaussian,0.763100,0.432900,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,laplace,0.776300,0.441600,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,pred_angular_spread,spike_plus_exp,0.912700,0.461500,0,9.43,12.139,1.71,2.6
by_class,dense_block_midrise,angular_spread,target_angular_spread,spike_plus_exp,0.649600,0.479500,1,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,gmm2,0.757400,0.518400,0,9.171,19.035,2.289,4.947
by_class,dense_block_midrise,angular_spread,target_angular_spread,gmm3,0.757400,0.518400,0,9.171,19.035,2.289,4.947
