[prior-calibration] try=TFGFortyEighthTry48 device=directml dataset=CKM_Dataset_270326.h5 log_every=50
[prior-calibration] val 800/2427 raw_rmse=67.4917 best_so_far=24.1411
[prior-calibration] val 850/2427 raw_rmse=67.6900 best_so_far=24.1819
[prior-calibration] val 900/2427 raw_rmse=67.5471 best_so_far=24.1651
[prior-calibration] val 950/2427 raw_rmse=67.7408 best_so_far=24.2304
[prior-calibration] val 1000/2427 raw_rmse=67.4854 best_so_far=24.1303
[prior-calibration] val 1050/2427 raw_rmse=67.5582 best_so_far=24.1981
[prior-calibration] val 1100/2427 raw_rmse=67.5537 best_so_far=24.1209
[prior-calibration] val 1150/2427 raw_rmse=67.6189 best_so_far=24.0641
[prior-calibration] val 1200/2427 raw_rmse=67.4895 best_so_far=24.0702
[prior-calibration] val 1250/2427 raw_rmse=67.6294 best_so_far=24.1218
[prior-calibration] val 1300/2427 raw_rmse=67.6502 best_so_far=24.1195
[prior-calibration] val 1350/2427 raw_rmse=67.6792 best_so_far=24.1031
[prior-calibration] val 1400/2427 raw_rmse=67.7636 best_so_far=24.1486
[prior-calibration] val 1450/2427 raw_rmse=67.8146 best_so_far=24.1181
[prior-calibration] val 1500/2427 raw_rmse=67.7292 best_so_far=24.0772
[prior-calibration] val 1550/2427 raw_rmse=67.5317 best_so_far=24.0092
[prior-calibration] val 1600/2427 raw_rmse=67.7061 best_so_far=24.1119
[prior-calibration] val 1650/2427 raw_rmse=67.9316 best_so_far=24.1418
[prior-calibration] val 1700/2427 raw_rmse=68.1396 best_so_far=24.2459
[prior-calibration] val 1750/2427 raw_rmse=68.1491 best_so_far=24.2148
[prior-calibration] val 1800/2427 raw_rmse=68.0398 best_so_far=24.2050
[prior-calibration] val 1850/2427 raw_rmse=67.9345 best_so_far=24.2015
[prior-calibration] val 1900/2427 raw_rmse=67.9452 best_so_far=24.2264
[prior-calibration] val 1950/2427 raw_rmse=67.8572 best_so_far=24.2198
[prior-calibration] val 2000/2427 raw_rmse=67.7956 best_so_far=24.1990
[prior-calibration] val 2050/2427 raw_rmse=67.7540 best_so_far=24.1744
[prior-calibration] val 2100/2427 raw_rmse=67.6383 best_so_far=24.1150
[prior-calibration] val 2150/2427 raw_rmse=67.7032 best_so_far=24.1439
[prior-calibration] val 2200/2427 raw_rmse=67.7496 best_so_far=24.1758
[prior-calibration] val 2250/2427 raw_rmse=67.6942 best_so_far=24.1344
[prior-calibration] val 2300/2427 raw_rmse=67.7538 best_so_far=24.1200
[prior-calibration] val 2350/2427 raw_rmse=67.8358 best_so_far=24.1458
[prior-calibration] val 2400/2427 raw_rmse=67.8771 best_so_far=24.1569
[prior-calibration] val 2427/2427 raw_rmse=67.9603 best_so_far=24.1777
{
  "try_dir": "C:\\TFG\\TFGpractice\\TFGFortyEighthTry48",
  "config": "C:\\TFG\\TFGpractice\\TFGFortyEighthTry48\\experiments\\fortyeighthtry48_pmnet_prior_gan\\fortyeighthtry48_pmnet_prior_gan.yaml",
  "dataset": "C:\\TFG\\TFGpractice\\Datasets\\CKM_Dataset_270326.h5",
  "support": {
    "train_valid_pixels": 2265154084,
    "train_zero_pixels": 590665125,
    "train_zero_ratio": 0.26076156548121165,
    "val_valid_pixels": 485380287,
    "val_zero_pixels": 124935435,
    "val_zero_ratio": 0.25739701085141103
  },
  "regimes": {
    "density_q1": 0.1956760965207146,
    "density_q2": 0.2549084200418514,
    "height_q1": 10.913664557109195,
    "height_q2": 15.950557886832314,
    "ant_q1": 58.12179183959961,
    "ant_q2": 103.85484313964844
  },
  "results": {
    "raw_prior": {
      "count": 485380287,
      "rmse_db": 67.96032203992708,
      "mae_db": 43.472853762266546
    },
    "global_affine": {
      "count": 485380287,
      "rmse_db": 25.704506381703812,
      "mae_db": 15.96111467249603
    },
    "city_type_affine": {
      "count": 485380287,
      "rmse_db": 25.701402033131917,
      "mae_db": 15.945437712073682
    },
    "city_type_los_affine": {
      "count": 485380287,
      "rmse_db": 24.36487772489388,
      "mae_db": 13.088280156720055
    },
    "city_type_los_ant_affine": {
      "count": 485380287,
      "rmse_db": 24.19780054339917,
      "mae_db": 12.804921602589069
    },
    "city_type_los_ant_quadratic": {
      "count": 485380287,
      "rmse_db": 24.177700078398182,
      "mae_db": 12.763683437423882
    },
    "global_affine_support_scaled": {
      "count": 485380287,
      "rmse_db": 33.152184797648644,
      "mae_db": 27.621122576183296
    },
    "city_type_los_affine_support_scaled": {
      "count": 485380287,
      "rmse_db": 26.234700048376496,
      "mae_db": 9.88634613580693
    },
    "city_type_los_ant_affine_support_scaled": {
      "count": 485380287,
      "rmse_db": 26.12296033161704,
      "mae_db": 9.69216509020538
    },
    "city_type_los_ant_quadratic_support_scaled": {
      "count": 485380287,
      "rmse_db": 26.112943334656368,
      "mae_db": 9.65999531955009
    }
  },
  "best": {
    "name": "city_type_los_ant_quadratic",
    "count": 485380287,
    "rmse_db": 24.177700078398182,
    "mae_db": 12.763683437423882
  }
}
